reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
143473.0,501(c)(3),MO,1955,70982415,38546330.0,54126979.0,52772510.0,53578,B,328072,0.4373216854836744,30,25,1315,50,21996761,3
184599.0,501(c)(3),MO,1955,70982415,38546330.0,54126979.0,52772510.0,53578,B,328072,0.5626783145163257,30,25,1315,50,21996761,3
319920.0,501(c)(5),MO,1883,42030778,7570685.0,45152289.0,46404066.0,53578,J,946493,0.3380056693499054,22,22,215,41,18168807,3
234141.0,501(c)(5),MO,1883,42030778,7570685.0,45152289.0,46404066.0,53578,J,946493,0.24737742381612965,22,22,215,41,18168807,3
164245.0,501(c)(5),MO,1883,42030778,7570685.0,45152289.0,46404066.0,53578,J,946493,0.17353007365083525,22,22,215,41,18168807,3
228187.0,501(c)(5),MO,1883,42030778,7570685.0,45152289.0,46404066.0,53578,J,946493,0.2410868331831297,22,22,215,41,18168807,3
97823.0,501(c)(3),MO,1998,4000376,586786.0,14941139.0,16228903.0,53578,E,97823,1.0,12,8,0,30,7944049,3
85864.0,501(c)(3),MO,1954,72558331,4963576.0,128579804.0,130998872.0,53578,O,699257,0.12279319334665224,24,24,1945,49000,74879576,2
97920.0,501(c)(3),MO,1954,72558331,4963576.0,128579804.0,130998872.0,53578,O,699257,0.14003435074657816,24,24,1945,49000,74879576,2
81175.0,501(c)(3),MO,1954,72558331,4963576.0,128579804.0,130998872.0,53578,O,699257,0.1160875043081442,24,24,1945,49000,74879576,2
190326.0,501(c)(3),MO,1954,72558331,4963576.0,128579804.0,130998872.0,53578,O,699257,0.27218318872746355,24,24,1945,49000,74879576,2
243972.0,501(c)(3),MO,1954,72558331,4963576.0,128579804.0,130998872.0,53578,O,699257,0.3489017628711618,24,24,1945,49000,74879576,2
328644.0,501(c)(3),MO,1957,41454466,18187910.0,33106058.0,33298184.0,53578,E,328644,1.0,10,9,227,15,11291677,5
117021.0,501(c)(3),MO,1958,1915820,511634.0,1808298.0,1853592.0,53578,F,117021,1.0,13,13,23,78,1190935,1
64518.0,501(c)(3),MO,1972,12910819,894016.0,2475658.0,2250176.0,53578,F,126529,0.5099068197804456,14,11,88,0,1398823,1
62011.0,501(c)(3),MO,1972,12910819,894016.0,2475658.0,2250176.0,53578,F,126529,0.4900931802195544,14,11,88,0,1398823,1
269183.0,501(c)(3),MO,1962,16996508,7411755.0,13640568.0,15759963.0,53578,F,360102,0.7475187585739596,15,15,250,14,8375843,1
90919.0,501(c)(3),MO,1962,16996508,7411755.0,13640568.0,15759963.0,53578,F,360102,0.2524812414260404,15,15,250,14,8375843,1
100392.0,501(c)(5),TX,1993,987299,22072.0,1106466.0,905112.0,59206,J,409606,0.2450940660048925,11,0,7,0,725118,7
102611.0,501(c)(5),TX,1993,987299,22072.0,1106466.0,905112.0,59206,J,409606,0.2505114671171809,11,0,7,0,725118,7
100391.0,501(c)(5),TX,1993,987299,22072.0,1106466.0,905112.0,59206,J,409606,0.2450916246344048,11,0,7,0,725118,7
106212.0,501(c)(5),TX,1993,987299,22072.0,1106466.0,905112.0,59206,J,409606,0.25930284224352185,11,0,7,0,725118,7
65512.0,501(c)(3),MO,1924,38153384,646542.0,16685496.0,17939747.0,53578,L,65512,1.0,15,15,200,7307,7022187,1
181325.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.06055933345156305,15,12,1449,127,75322377,3
752628.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.2513644010312036,15,12,1449,127,75322377,3
521708.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.17424121735198156,15,12,1449,127,75322377,3
217172.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.0725315955568336,15,12,1449,127,75322377,3
450002.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.1502926853543101,15,12,1449,127,75322377,3
157999.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.05276886323459816,15,12,1449,127,75322377,3
211445.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.07061887914885287,15,12,1449,127,75322377,3
